Supplier Name,Status,Score,Line Of Business,Supplier Number,Services,BuildingNm,Street1Addr,Street2Addr,Street3Addr,CityNm,GeographicLocationCd,CountryCd,PostalCd,TelephoneNum,AddressTypeTp,CreBy,CreDttm,SupplierNm,SupplierTypeCd,EmployeesQty,NatureOfBusinessOrServicesTxt,FirmLegalNm,Operated_Under_Other_Business_,OtherBusinessNm,Subsidiary_Affiliate_Firm_,AffiliatesNm,Legal_Query_,LegalQueryDetailsTxt,IncorporationYr,IncorporationCountryCd,CompanyWebsiteUrl
THE KRAISE DEPO LTD,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLENH119815,"Grocery, Wholesale Grocer",,#52 Jasper Avenue Diamond Vale,,,DIEGO MARTIN,DIEGO MARTIN BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,868-482-5654,,Kraisedepo@gmail.com,08/04/2024 4:16:44 PM,THE KRAISE DEPO LTD,LIMITED LIABILITY,10,"Grocery, Wholesale Grocer",THE KRAISE DEPO LTD,NO,,NO,,NO,,2023,TRINIDAD AND TOBAGO,
SOURCE & SUPPLY SERVICES LIMITED,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLUHF109343,Supplier of Goods and Services ,,"5H FITT STREET, WOODBROOK",,,PORT- OF- SPAIN,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,170213,4626262 ,PRIMARY,sourceandsupply12@gmail.com,20/05/2024 9:59:56 PM,SOURCE & SUPPLY SERVICES LIMITED,LIMITED LIABILITY,3,Supplier of Goods and Services ,SOURCE & SUPPLY SERVICES LIMITED ,NO,,NO,,NO,,2015,TRINIDAD AND TOBAGO,
CMR AND COMPANY LIMITED,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLSPF104738,"STATIONERY, OFFICE SUPPLIES, OFFICE FURNITURE INK AND TONER. ",,4 RESERVE ROAD,MARABELLA,,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,00000,235-4846,MAILING,vishnu@cmrtt.com,23/05/2024 1:16:09 PM,CMR AND COMPANY LIMITED,LIMITED LIABILITY,55,"STATIONERY, OFFICE SUPPLIES, OFFICE FURNITURE INK AND TONER. ",CMR AND COMPANY LIMITED,NO,,NO,,NO,,2001,TRINIDAD AND TOBAGO,www.cmrtt.com
RUNEL ENTERPRISES LTD,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLSYY107448,"Suppliers of Stationery, and Printing Services",,Erin Road,,,SIPARIA,SIPARIA BOROUGH CORPORATION,TRINIDAD AND TOBAGO,720120,8686490409,PRIMARY,sales@runeltt.com,24/05/2024 2:36:01 PM,RUNEL ENTERPRISES LTD,LIMITED LIABILITY,4,"Suppliers of Stationery, and Printing Services",RUNEL ENTERPRISES LTD,NO,,NO,,NO,,,TRINIDAD AND TOBAGO,www.runeltt.com
WILSON COMMUNITY PROJECT MANAGEMENT LTD. ,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLBPM105736,General Construction & Project Management Company,,,,,,,,,,,wilsoncomunityprojects@gmail.com,10/06/2024 11:07:53 PM,WILSON COMMUNITY PROJECT MANAGEMENT LTD. ,LIMITED LIABILITY,6,General Construction & Project Management Company,WILSON COMMUNITY PROJECT MANAGEMENT LTD,NO,,NO,,NO,,,TRINIDAD AND TOBAGO,20 - 22 Carib Street San Fernando
GALT AND LITTLEPAGE LIMITED ,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLMLP100363,Office Specialist - Design and Supply of Office Furnishings and Stationery,,31 Long Circular Road,,,ST. JAMES ,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,0000,628-1952,PRIMARY,sales@galtandlittlepage.com,11/06/2024 7:51:28 AM,GALT AND LITTLEPAGE LIMITED ,LIMITED LIABILITY,33,Office Specialist - Design and Supply of Office Furnishings and Stationery,GALT AND LITTLEPAGE LIMITED ,NO,,NO,,NO,,1985,TRINIDAD AND TOBAGO,www.galtandlittlepage.com
JOSEPHS CENTRAL TRADING LTD ,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",OTRFK104346,"Signage, Trophies & Awards, Printing, Construction Material, Signage Material, Tshirs and Prints ",PRECISION SIGNS LTD/ JOSEPHS CENTRAL TRADING LTD/ PS TROPHIES & AWARDS LTD ,#42A Brunton Road St James ,,,PORT OF SPAIN ,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,0000,7050655/ 6897671/ 6220365,MAILING,jessica_durga@yahoo.com,12/06/2024 10:34:54 AM,JOSEPHS CENTRAL TRADING LTD ,OTHER,8,"Signage, Trophies & Awards, Printing, Construction Material, Signage Material, Tshirs and Prints ",JOSEPHS CENTRAL TRADING LTD,NO,PRECISION SIGNS LTD ,NO,,NO,,2001,TRINIDAD AND TOBAGO,
DAVANAND RAMDEEN,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",SPVJR106790,"Supplier of Stationery, Electronics, Furniture, Gadgets, Kitchen Utensils, And Many More Items",,LP4 Corner Jattan Lane and Shakir Trace,El Socorro San Juan,,"EL SOCORRO, SAN JUAN",SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,+18686863196,MAILING,vibrantsalesandservices@gmail.com,01/05/2024 8:37:30 AM,DAVANAND RAMDEEN,SOLE PROPRIETORSHIP,4,"Supplier of Stationery, Electronics, Furniture, Gadgets, Kitchen Utensils, And Many More Items",VIBRANT SALES AND SERVICES,NO,,NO,,NO,,,TRINIDAD AND TOBAGO,LP4 Corner Jattan Lane and Shakir Trace El Socorro San Juan
MIX AND FIX SERVICES ,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",SPXJT118115,"Construction, Maintenance, Landscaping, Power washing, Road Rehabilitation, Landscaping, Plumbing, Electrical, Air Condition Supply / Installation and Supply and Transportation of Aggregates.  
Additionally, Mix and Fix Services covers areas of fabrication, carpentry, masonry, painting, box drain construction etc.   
",,"#25 Gopaul Avenue,  "," Lamont Street,","Longdenville,",CHAGUANAS,CHAGUANAS BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,3896008,PRIMARY,mixandfixservices@gmail.com,08/05/2024 9:32:35 AM,MIX AND FIX SERVICES ,SOLE PROPRIETORSHIP,3,"Construction, Maintenance, Landscaping, Power washing, Road Rehabilitation, Landscaping, Plumbing, Electrical, Air Condition Supply / Installation and Supply and Transportation of Aggregates.  
Additionally, Mix and Fix Services covers areas of fabrication, carpentry, masonry, painting, box drain construction etc.   
",MIX AND FIX SERVICES ,NO,,NO,,NO,,2017,TRINIDAD AND TOBAGO,
SEL ADVERTISING & CONSULTANCY SERVICES LIMITED,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLUGX103839,"suppliers of documents to all major banks in the financial sector, the airline industry, the Trinidad and Tobago Police Service and other areas in the public sector as well as large entities within the private sector we understand the level of confidentiality and professionalism required",,,,,,,,,,,seladvertising3@gmail.com,15/05/2024 3:10:00 PM,SEL ADVERTISING & CONSULTANCY SERVICES LIMITED,LIMITED LIABILITY,15,"suppliers of documents to all major banks in the financial sector, the airline industry, the Trinidad and Tobago Police Service and other areas in the public sector as well as large entities within the private sector we understand the level of confidentiality and professionalism required",SEL ADVERTISING & CONSULTANCY SERVICES LIMITED,NO,,NO,,NO,,,TRINIDAD AND TOBAGO,"123 NEW COLONIAL ROAD,"
G. SINGH MARKETING LTD,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLSHG106981,"COMPLETE TRADING SUPPLIER OF HARDWARE & CONSTRUCTION MATERIALS, WELDING, METALS, SAFETY, INDUSTRIAL PRODUCTS AND GENERAL SUPPLIES.",,LOT #10 DUNCAN VILLAGE,,,SAN FERNANDO,PENAL/DEBE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,652-4451,PRIMARY,GOWRIESINGH4GSM@GMAIL.COM,21/06/2024 1:40:57 PM,G. SINGH MARKETING LTD,LIMITED LIABILITY,3,"COMPLETE TRADING SUPPLIER OF HARDWARE & CONSTRUCTION MATERIALS, WELDING, METALS, SAFETY, INDUSTRIAL PRODUCTS AND GENERAL SUPPLIES.",G. SINGH MARKETING LTD,NO,,NO,,NO,,1998,TRINIDAD AND TOBAGO,
BUILD BEYOND LIMITED,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLUTN117235,"CIVIL/GENERAL CONSTRUCTION
MASONARY,PLUMBING,ELECTRICAL AND MAINTENANCE WORKS.
SUPPLY HARDWARE MATERIALS AND SUPPLIES.SAFTEY SUPPLIES AND CLEANING SUPPLIES",,#236 S.S. ERIN ROAD ,,QUARRY VILLAGE,SIPARIA ,SIPARIA BOROUGH CORPORATION,TRINIDAD AND TOBAGO,720129,8683100396,PRIMARY,buildbeyondltd@outlook.com,25/06/2024 3:55:16 PM,BUILD BEYOND LIMITED,LIMITED LIABILITY,2,"CIVIL/GENERAL CONSTRUCTION
MASONARY,PLUMBING,ELECTRICAL AND MAINTENANCE WORKS.
SUPPLY HARDWARE MATERIALS AND SUPPLIES.SAFTEY SUPPLIES AND CLEANING SUPPLIES",BUILD BEYOND LIMITED,NO,,NO,,NO,,2019,TRINIDAD AND TOBAGO,
OFFICE LINK COMPANY LIMITED,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLFCD100284,"Sales, Services, Rental, and Repairs, of Photocopying Machines. Installation of Office Equipment, Office Furniture, Computer Systems, Laptops, Servers, Cash Registers, POS, Appliances, etc. Stationery Items and Medical Supplies- ""Your total home and Office Provider""",OFFICE LINK CO. LTD,# 23 CIPERO STREET,,,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,00000,8686523015,PRIMARY,officelinktt@gmail.com,28/06/2024 10:13:20 AM,OFFICE LINK COMPANY LIMITED,LIMITED LIABILITY,10,"Sales, Services, Rental, and Repairs, of Photocopying Machines. Installation of Office Equipment, Office Furniture, Computer Systems, Laptops, Servers, Cash Registers, POS, Appliances, etc. Stationery Items and Medical Supplies- ""Your total home and Office Provider""",OFFICE LINK COMPANY LIMITED,NO,,NO,,NO,,2001,TRINIDAD AND TOBAGO,www.offficelinktt.net
TOPS OFFICE SUPPLIES LIMITED,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLMAC104399,"Stationery Supplier, Office Equipment, Janitorial supplies, Office Furniture  ",TOPS OFFICE SUPPLIES ,#171 Western Main Road,"St, James ",,PORT OF SPAIN ,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,00000,622-8677,PRIMARY,topssales2@gmail.com,28/06/2024 11:28:12 AM,TOPS OFFICE SUPPLIES LIMITED,LIMITED LIABILITY,25,"Stationery Supplier, Office Equipment, Janitorial supplies, Office Furniture  ",TOPS OFFICE SUPPLIES LIMITED,NO,,NO,,NO,,1994,TRINIDAD AND TOBAGO,n/a
JAZCO MARKETING AND DISTRIBUTION LIMITED,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLXPC102074,"Range of Products Janitorial, Safety, Paper Products, Office Stationery and Furniture, Food and Beverage,  Appliances, Tools, Hardware, Packaging, Miscellaneous",,123-125 Abercromby Street,,,PORT OF SPAIN,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,00000,625-2926,PRIMARY,matthewzakz@gmail.com,05/07/2024 3:02:35 PM,JAZCO MARKETING AND DISTRIBUTION LIMITED,LIMITED LIABILITY,6,"Range of Products Janitorial, Safety, Paper Products, Office Stationery and Furniture, Food and Beverage,  Appliances, Tools, Hardware, Packaging, Miscellaneous",JAZCO MARKETING AND DISTRIBUTION LIMITED,YES,D MOBILE OFFICE LIMITED,NO,,NO,,2010,TRINIDAD AND TOBAGO,www.jazco.co
OILFIELD AND MARINE TECHNOLOGIES COMPANY LIMITED,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLIYM106243,"Sales and Services to the Government of Trinidad and Tobago, state Agencies and Petrochemical Industries",,69 SOUTH TRUNK ROAD,LA ROMAIN,,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,650139,8682327578,,oilfieldandmarineltd@gmail.com,12/07/2024 9:24:32 AM,OILFIELD AND MARINE TECHNOLOGIES COMPANY LIMITED,LIMITED LIABILITY,8,"Sales and Services to the Government of Trinidad and Tobago, state Agencies and Petrochemical Industries",OILFIELD AND MARINE TECHNOLOGIES COMPANY LIMITED,YES,,NO,,NO,,2012,TRINIDAD AND TOBAGO,
POWERSAVE SOLUTIONS LTD,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLQAD100385,"Distributor of Computers, Printers, ink & toners , Printing and Stationery Supply, Dental, Medical and PPE supplies .",,99 John Street,Montrose,,CHAGUANAS,CHAGUANAS BOROUGH CORPORATION,TRINIDAD AND TOBAGO,500711,868 332 4657(INKS),PRIMARY,samb@powersavett.com,16/07/2024 8:31:48 AM,POWERSAVE SOLUTIONS LTD,LIMITED LIABILITY,10,"Distributor of Computers, Printers, ink & toners , Printing and Stationery Supply, Dental, Medical and PPE supplies .",POWERSAVE SOLUTIONS LTD,NO,NA,NO,NA,NO,NA,2012,TRINIDAD AND TOBAGO,"www.powersavett.com
www.inkbob.com
www.wellspringshealthtt.com
www.wellspringshealthtt.com"
JUELZ MAINTENANCE SERVICES LIMITED ,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLASO107131,"GENERAL CONTRACTING SERVICES, STATIONERY SUPPLIES, CLEANING SUPPLIES, CIVIL WORKS, TRANSPORTATION, OFFICE CONSUMABLES, APPARREL, SAFETY SUPPLIES, GENERAL SUPPLIES",,#4 Waterloo Road ,,,ST MARY'S CARAPICHAIMA,CHAGUANAS BOROUGH CORPORATION,TRINIDAD AND TOBAGO,868,393-2494,,juelzmsltd@gmail.com,01/04/2024 11:23:37 AM,JUELZ MAINTENANCE SERVICES LIMITED ,LIMITED LIABILITY,20,"GENERAL CONTRACTING SERVICES, STATIONERY SUPPLIES, CLEANING SUPPLIES, CIVIL WORKS, TRANSPORTATION, OFFICE CONSUMABLES, APPARREL, SAFETY SUPPLIES, GENERAL SUPPLIES",JUELZ MAINTENANCE SERVICES LIMITED,NO,,NO,,NO,,2015,TRINIDAD AND TOBAGO,
SOUTHERN WELDING & GENERAL CONTRACTOR LTD,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLNLP100066,General Contracting Services,,1 CHURCH STREET,,,POINT FORTIN,POINT FORTIN BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,18686482563,PRIMARY,swgcltt@gmail.com,21/07/2024 3:13:58 PM,SOUTHERN WELDING & GENERAL CONTRACTOR LTD,LIMITED LIABILITY,25,General Contracting Services,SOUTHERN WELDING & GENERAL CONTRACTOR LTD,NO,,NO,,NO,,1981,TRINIDAD AND TOBAGO,
BUSY BUSINESS SYSTEMS & EQUIPMENT (RENTAL) LTD.,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLHKB100326,"SALE OF STATIONERY, OFFICE MACHINES, OFFICE EQUIPMENT AND OFFICE FURNITURE, RENTAL OF OFFICE MACHINES.",,"82 Roberts Street, Woodbrook",,,PORT OF SPAIN,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,170201,8686282800,PRIMARY,sales@busy.tt,15/07/2024 11:55:56 AM,BUSY BUSINESS SYSTEMS & EQUIPMENT (RENTAL) LTD.,LIMITED LIABILITY,22,"SALE OF STATIONERY, OFFICE MACHINES, OFFICE EQUIPMENT AND OFFICE FURNITURE, RENTAL OF OFFICE MACHINES.",BUSY BUSINESS SYSTEMS & EQUIPMENT (RENTAL) LTD.,NO,,NO,,NO,,1987,TRINIDAD AND TOBAGO,
129 MARKETING AND DISTRIBUTION SERVICES LIMITED,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLRHV106550,"JANITORIAL EQUIPMENT AND CONSUMABLES , CHEMICALS, COMPUTER, PARTS AND OFFICE CONSUMABLES",,# 95 SMR EDINBURGH CHAGUANAS,,,CHAGUANAS,CHAGUANAS BOROUGH CORPORATION,TRINIDAD AND TOBAGO,-,+18683332696,PRIMARY,anisakhan@129marketing.com,02/07/2024 11:44:37 AM,129 MARKETING AND DISTRIBUTION SERVICES LIMITED,LIMITED LIABILITY,50,"JANITORIAL EQUIPMENT AND CONSUMABLES , CHEMICALS, COMPUTER, PARTS AND OFFICE CONSUMABLES",129 MARKETING AND DISTRIBUTION SERVICES LIMITED,NO,,NO,,NO,,2012,TRINIDAD AND TOBAGO,www.129marketing.com
ECCA SCHOOL & OFFICE SUPPLIES LTD,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLLIH106578,"STATIONERY SUPPLIES, OFFICE EQUIPMENT, SPECIALISED LIBRARY EQUIPMENT, SPECIALISED ARCHIVAL PRODUCTS AND SOLUTIONS",,46 Pelican Drive,Phillipine,,SAN FERNANDO,PENAL/DEBE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,8686523404,PRIMARY,rbisnath@ecca-tt.com,02/07/2024 2:22:08 PM,ECCA SCHOOL & OFFICE SUPPLIES LTD,LIMITED LIABILITY,6,"STATIONERY SUPPLIES, OFFICE EQUIPMENT, SPECIALISED LIBRARY EQUIPMENT, SPECIALISED ARCHIVAL PRODUCTS AND SOLUTIONS",ECCA SCHOOL & OFFICE SUPPLIES LTD,NO,,NO,,NO,,2008,TRINIDAD AND TOBAGO,www.ecca-tt.com
JOHN DICKINSON & CO. WEST INDIES LTD.,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLWUP101793,"Supplier of Stationery, Paper products and janitorial consumables products",JOHN DICKINSON & COMPANY LIMITED,LOT  10 DIAMOND VALE INDUSTRIAL ESTATE,FACTORY ROAD,DIEGO MARTIN,DIEGO MARTIN,NOT APPLICABLE,TRINIDAD AND TOBAGO,0000,632-3422-4/632-7573-9,PRIMARY,admin@johndickinsonwi.com,15/05/2024 3:33:08 PM,JOHN DICKINSON & CO. WEST INDIES LTD.,LIMITED LIABILITY,250,"Supplier of Stationery, Paper products and janitorial consumables products",JOHN DICKINSON & CO. WEST INDIES LTD,NO,,NO,,NO,,1965,TRINIDAD AND TOBAGO,
360 STATIONERS AND TECHNOLOGY LTD,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",SPSDI106984,SUPPLIER FOR STATIONERY & ALL OFFICE SUPPLIES,,LOT #5 WINTER GARDENS SAUT D'EAU ROAD MARAVAL,,,PORT OF SPAIN,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,NONE,225-9656,MAILING,danaa@360stationerstech.com,16/05/2024 11:38:23 AM,360 STATIONERS AND TECHNOLOGY LTD,SOLE PROPRIETORSHIP,2,SUPPLIER FOR STATIONERY & ALL OFFICE SUPPLIES,360 STATIONERS AND TECHNOLOGY LTD,NO,,NO,,NO,,2020,TRINIDAD AND TOBAGO,
HANSLEY AND GERALD SERVICES LIMITED,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLWWH103676,"Building Construction and Refurbishment, Painting, Landscaping, Civil Works, Electrical, Welding, Plumbing , Paving , Procurement Services, Etc.",,#123 Mango Avenue ,Santa Rosa Heights,,ARIMA,TUNAPUNA/PIARCO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,123,18686677205,MAILING,handgservicesltd@hotmail.com,15/05/2024 9:19:17 AM,HANSLEY AND GERALD SERVICES LIMITED,LIMITED LIABILITY,12,"Building Construction and Refurbishment, Painting, Landscaping, Civil Works, Electrical, Welding, Plumbing , Paving , Procurement Services, Etc.",HANSLEY AND GERALD SERVICES LIMITED ,NO,,NO,,NO,,2010,TRINIDAD AND TOBAGO,
JWALLA PERSAD SUPERMARKET,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",PNNVA107752,"Supermarket, Wholesaler and Retailer of Grocery Items, Stationery, Liquor, Phone Cards",,,,,,,,,,,sankarpersad@gmail.com,17/06/2024 4:46:30 PM,JWALLA PERSAD SUPERMARKET,PARTNERSHIP,7,"Supermarket, Wholesaler and Retailer of Grocery Items, Stationery, Liquor, Phone Cards",JWALLA PERSAD SUPERMARKET,NO,,NO,,NO,,2001,TRINIDAD AND TOBAGO,
FIVE 9'S SOLUTIONS LTD,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLEAL100306,"OUR PRINCIPAL ACTIVITIES INCLUDE DESIGNING, PROCURING, PROJECT MANAGING AND MAINTAINING ICT AND RELATED SOLUTIONS AS WELL AS PROVIDING A WIDE VARIETY OF VALUE-ADDED SUPPORT SERVICES TO GOVERNMENT MINISTRIES AND DEPARTMENTS",,38A SANDHURST STREET,BELMONT,,PORT OF SPAIN,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,240805,751-7614,PRIMARY,ayanna@five9ss.com,20/06/2024 12:05:55 PM,FIVE 9'S SOLUTIONS LTD,LIMITED LIABILITY,13,"OUR PRINCIPAL ACTIVITIES INCLUDE DESIGNING, PROCURING, PROJECT MANAGING AND MAINTAINING ICT AND RELATED SOLUTIONS AS WELL AS PROVIDING A WIDE VARIETY OF VALUE-ADDED SUPPORT SERVICES TO GOVERNMENT MINISTRIES AND DEPARTMENTS",FIVE 9'S SOLUTIONS LTD,NO,,NO,,NO,,2018,TRINIDAD AND TOBAGO,https://five9ss.com/
LESA BUSINESS SOLUTIONS ,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",SPWOJ105542,"Office Consumables , Printing Supplies and Leasing of Office Equipment and Contracting Services ",,,,,,,,,,,lesabusinesssolutions@gmail.com,21/06/2024 9:02:11 AM,LESA BUSINESS SOLUTIONS ,SOLE PROPRIETORSHIP,4,"Office Consumables , Printing Supplies and Leasing of Office Equipment and Contracting Services ",LESA BUSINESS SOLUTIONS ,NO,,NO,,NO,,2022,TRINIDAD AND TOBAGO,
STATIONERY CITY LTD,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLXHU105032,The supply of stationery items ,,,,,,,,,,,stationerycity@gmail.com,21/06/2024 9:10:19 AM,STATIONERY CITY LTD,LIMITED LIABILITY,2,The supply of stationery items ,STATIONERY CITY LTD,NO,,NO,,NO,,2014,TRINIDAD AND TOBAGO,
STEALTH OFFICE & COMPUTER PRODUCTS LIMITED,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLUJR109242,"Retail and wholesale of Stationery, office supplies, ink and printer consumables, computer products, office furniture, grocceries, printing services and rubber and self-inking stamps",,36 SADDLE ROAD,MARAVAL,,PORT OF SPAIN,DIEGO MARTIN BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,8686227241,PRIMARY,stacey@stealthofficett.com,24/04/2024 2:21:46 PM,STEALTH OFFICE & COMPUTER PRODUCTS LIMITED,LIMITED LIABILITY,13,"Retail and wholesale of Stationery, office supplies, ink and printer consumables, computer products, office furniture, grocceries, printing services and rubber and self-inking stamps",STEALTH OFFICE AND COMPUTER PRODUCTS LIMITED ,NO,,NO,,NO,,2005,TRINIDAD AND TOBAGO,stealthofficett.com
BEYOND OFFICE SOLUTIONS LTD,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLMIF100449,"Office supplies, Office Furniture, Stationery supplies, toners, groceries items, cleaning supplies, COVID 19 supplies, appliances.",,24 Brunton Road,,,ST JAMES,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,180623,6872932,MAILING,sales@beyondofficett.com,06/06/2023 3:33:59 PM,BEYOND OFFICE SOLUTIONS LTD,LIMITED LIABILITY,3,"Office supplies, Office Furniture, Stationery supplies, toners, groceries items, cleaning supplies, COVID 19 supplies, appliances.",BEYOND OFFICE SOLUTIONS LTD,NO,,NO,,NO,,2012,TRINIDAD AND TOBAGO,
R.I.K. SERVICES LTD,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLGBE109930,"Retailer & Wholesaler of Books, Stationery, Uniform, Curtains and Novelty items",,104 High Street,,,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,0000,868-223-1137/38/39,PRIMARY,jchaitoo@rikservices.net,19/12/2023 9:27:38 AM,R.I.K. SERVICES LTD,LIMITED LIABILITY,76,"Retailer & Wholesaler of Books, Stationery, Uniform, Curtains and Novelty items",R.I.K. SERVICES LTD,NO,TRINIDAD BOOK WORLD,NO,,YES,"Three pending court matters but the company is not being prosecuted for fraud, bribery, corruption, child-slavery. In at least 1 matter, the company is prosecuting a former employee for theft.",1975,TRINIDAD AND TOBAGO,rikservices.net
LEANNE KING,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",SPBAN111811,"Printing, Branding & stationery supplies, Including:
Corporate identity package
Signs and graphics
Business Cards
Letterheads
Envelopes
Brochures
Duplicate/ Triplicate books
Annual reports
Signs
Notepads
Feather Flags
Posters
Stamps
Flyers
Customized T-Shirts
Calendars
Invitations
Customized Gifts
Bookmarks
Embossing",,11 Santa Cruz Old Rd,,,SAN JUAN,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,01599,8683088907,PRIMARY,exquisiteleeps@gmail.com,15/11/2023 8:49:35 AM,LEANNE KING,SOLE PROPRIETORSHIP,8,"Printing, Branding & stationery supplies, Including:
Corporate identity package
Signs and graphics
Business Cards
Letterheads
Envelopes
Brochures
Duplicate/ Triplicate books
Annual reports
Signs
Notepads
Feather Flags
Posters
Stamps
Flyers
Customized T-Shirts
Calendars
Invitations
Customized Gifts
Bookmarks
Embossing",EXQUISITE-LEE PRINT SERVICES,NO,,NO,,NO,,2017,TRINIDAD AND TOBAGO,
DAVID RAMPERSAD,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",SPQDP107379,MANUFACTURING/ SUPPLIER OF HEALTH AND SAFETY AND EMERGENCY SUPPLIES/ CONSTRUCTION ETC,D RAMPERSAD WHOLESALE,68,ST JULIEN ROAD PRINCES TOWN,,PRINCES TOWN,PRINCES TOWN REGIONAL CORPORATION,TRINIDAD AND TOBAGO,830139,4778927,,drampersadwholesale@hotmail.com,22/11/2023 3:41:39 PM,DAVID RAMPERSAD,SOLE PROPRIETORSHIP,10,MANUFACTURING/ SUPPLIER OF HEALTH AND SAFETY AND EMERGENCY SUPPLIES/ CONSTRUCTION ETC,D RAMPERSAD WHOLESALE,NO,NO,NO,NO,NO,NO,2005,TRINIDAD AND TOBAGO,
ACTION MARKETING LIMITED,NEW,0,"Window envelopesLEVEL 1 (0 - $100,000.00)",LLMWY100429,"Sale and distribution of General office stationery, toners/cartridges, office furniture & equipment, grocery supplies (dry goods) and janitorial products.",ACTION MARKETING LIMITED,61 Camden Park,,,COUVA,COUVA/TABAQUITE/TALPARO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,550627,225-4250-2,MAILING,actionmkt.aramjiewan@gmail.com,22/02/2024 10:46:18 AM,ACTION MARKETING LIMITED,LIMITED LIABILITY,19,"Sale and distribution of General office stationery, toners/cartridges, office furniture & equipment, grocery supplies (dry goods) and janitorial products.",ACTION MARKETING LIMITED,NO,NONE,NO,NONE,NO,NO LEGAL QUERIES TO DATE,2000,TRINIDAD AND TOBAGO,
